Debug:  F:() L:(0) 	(2022-05-26 23:55:28) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 23:55:28) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 23:55:28) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 23:55:28) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-26 23:55:30) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 23:55:30) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-26 23:55:30) 	The page is load!!!
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-26 23:55:30) 	read from db is =  20  and  1
Debug:  F:() L:(0) 	(2022-05-26 23:55:30) 	the time is =  "2022-05-27"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:30) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:30) 	the time is =  "2022-05-27"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:30) 	The result of it is =  0  and  0
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-26 23:55:30) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 23:55:30) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-26 23:55:33) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-26 23:55:33) 	The current index is =  2
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(362) 	(2022-05-26 23:55:34) 	The mdifficult is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(681) 	(2022-05-26 23:55:37) 	click the start..
Debug:  F:() L:(0) 	(2022-05-26 23:55:37) 	the num =  10    and name is =  "allWords"  -1:  0.7  -2:  0.15  -3:  0.1  -4:  0.05
Debug:  F:() L:(0) 	(2022-05-26 23:55:37) 	the result of n4 =  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:37) 	the result of n3 =  1
Debug:  F:() L:(0) 	(2022-05-26 23:55:37) 	the result of n2 =  1
Debug:  F:() L:(0) 	(2022-05-26 23:55:38) 	the result of n1 =  8
Debug:  F:() L:(0) 	(2022-05-26 23:55:38) 	The number of word is =  10
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(887) 	(2022-05-26 23:55:38) 	The test number is =  10
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(681) 	(2022-05-26 23:55:44) 	click the start..
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(681) 	(2022-05-26 23:55:49) 	click the start..
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-26 23:55:51) 	The current status is =  [object Object]
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-21"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-22"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-23"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-24"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-25"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-26"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-27"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-26 23:55:51) 	The max top value is =  20
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-21"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-22"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-23"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-24"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-25"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-26"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	the time is =  "2022-05-27"  and  -1
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-26 23:55:51) 	The a1::: 100   0   0   0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-26 23:55:51) 	The result is =  100
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-26 23:55:51) 	The result is =  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-26 23:55:51) 	The result is =  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(240) 	(2022-05-26 23:55:51) 	The result is =  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(244) 	(2022-05-26 23:55:51) 	陌生: 100.00%
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(248) 	(2022-05-26 23:55:51) 	一般: 0.00% and  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(252) 	(2022-05-26 23:55:51) 	熟悉: 0.00% and  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(256) 	(2022-05-26 23:55:51) 	牢记: 0.00%
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-26 23:55:51) 	The current index is =  1
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-26 23:55:53) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-26 23:55:53) 	The current index is =  3
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-26 23:55:54) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-26 23:55:54) 	The current index is =  0
Debug:  F:(qrc:/qmls/Page/WordBooks.qml) L:(24) 	(2022-05-26 23:55:55) 	load
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(63) 	(2022-05-26 23:55:56) 	qrc:/qmls/Page/ShowDetailWord.qml:63:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(74) 	(2022-05-26 23:55:56) 	qrc:/qmls/Page/ShowDetailWord.qml:74:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(65) 	(2022-05-26 23:55:56) 	qrc:/qmls/Page/ShowDetailWord.qml:65: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(76) 	(2022-05-26 23:55:56) 	qrc:/qmls/Page/ShowDetailWord.qml:76: TypeError: Cannot read property '0' of undefined
Debug:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(13) 	(2022-05-26 23:55:56) 	The title is =  我的单词本
Debug:  F:() L:(0) 	(2022-05-26 23:55:56) 	The table name is =  "ImportTable-1"
Debug:  F:() L:(0) 	(2022-05-26 23:55:56) 	select error : =  QSqlError("1", "Unable to execute statement", "no such table: ImportTable-1")
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(156) 	(2022-05-26 23:55:56) 	qrc:/qmls/Page/ShowDetailWord.qml:156: TypeError: Cannot call method 'split' of undefined
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(156) 	(2022-05-26 23:55:56) 	qrc:/qmls/Page/ShowDetailWord.qml:156: TypeError: Cannot call method 'split' of undefined
Debug:  F:(qrc:/qmls/Page/WordBooks.qml) L:(78) 	(2022-05-26 23:55:56) 	The book name is =  我的单词本
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(63) 	(2022-05-26 23:55:57) 	qrc:/qmls/Page/ShowDetailWord.qml:63:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(74) 	(2022-05-26 23:55:57) 	qrc:/qmls/Page/ShowDetailWord.qml:74:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(65) 	(2022-05-26 23:55:57) 	qrc:/qmls/Page/ShowDetailWord.qml:65: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(76) 	(2022-05-26 23:55:57) 	qrc:/qmls/Page/ShowDetailWord.qml:76: TypeError: Cannot read property '0' of undefined
Debug:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(13) 	(2022-05-26 23:55:57) 	The title is =  英语词汇
Debug:  F:() L:(0) 	(2022-05-26 23:55:57) 	The table name is =  "allWords"
Debug:  F:(qrc:/qmls/Page/WordBooks.qml) L:(78) 	(2022-05-26 23:55:57) 	The book name is =  英语词汇
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(63) 	(2022-05-26 23:56:00) 	qrc:/qmls/Page/ShowDetailWord.qml:63:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(74) 	(2022-05-26 23:56:00) 	qrc:/qmls/Page/ShowDetailWord.qml:74:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(65) 	(2022-05-26 23:56:00) 	qrc:/qmls/Page/ShowDetailWord.qml:65: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(76) 	(2022-05-26 23:56:00) 	qrc:/qmls/Page/ShowDetailWord.qml:76: TypeError: Cannot read property '0' of undefined
Debug:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(13) 	(2022-05-26 23:56:00) 	The title is =  错题本
Debug:  F:() L:(0) 	(2022-05-26 23:56:00) 	The table name is =  "allWords"
