Debug:  F:() L:(0) 	(2022-05-26 23:30:30) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 23:30:31) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 23:30:31) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 23:30:31) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-26 23:30:34) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-26 23:30:34) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-26 23:30:34) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 23:30:34) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-26 23:30:34) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-26 23:30:34) 	read from db is =  10  and  1
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	The result of it is =  30  and  18
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 23:30:34) 	The result of it is =  30  and  18
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-26 23:30:34) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 23:30:34) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-26 23:30:34) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-26 23:30:36) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-26 23:30:36) 	The current index is =  2
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(362) 	(2022-05-26 23:30:39) 	The mdifficult is =  1
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 23:30:45) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-26 23:30:45) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 23:30:45) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-26 23:30:45) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-26 23:30:51) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-26 23:30:51) 	The current index is =  3
Debug:  F:(qrc:/qmls/Page/UserPage.qml) L:(168) 	(2022-05-26 23:31:33) 	The mm is =  123456
Warning:  F:(qrc:/qmls/Component/ListItemForUserInfo.qml) L:(-1) 	(2022-05-26 23:31:33) 	qrc:/qmls/Component/ListItemForUserInfo.qml: ReferenceError: arr is not defined
Warning:  F:(qrc:/qmls/Component/ListItemForUserInfo.qml) L:(25) 	(2022-05-26 23:31:33) 	qrc:/qmls/Component/ListItemForUserInfo.qml:25: ReferenceError: arr is not defined
Warning:  F:(qrc:/qmls/Component/ListItemForUserInfo.qml) L:(25) 	(2022-05-26 23:31:33) 	qrc:/qmls/Component/ListItemForUserInfo.qml:25: ReferenceError: arr is not defined
Warning:  F:(qrc:/qmls/Component/ListItemForUserInfo.qml) L:(25) 	(2022-05-26 23:31:33) 	qrc:/qmls/Component/ListItemForUserInfo.qml:25: ReferenceError: arr is not defined
Debug:  F:(qrc:/qmls/Component/ListItemForUserInfo.qml) L:(34) 	(2022-05-26 23:31:36) 	The name is =  我的密码
Debug:  F:(qrc:/qmls/Component/ListItemForUserInfo.qml) L:(37) 	(2022-05-26 23:31:36) 	The key and value is =  我的密码   and: 123456
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 23:31:36) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-26 23:31:36) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 23:31:36) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-26 23:31:40) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-26 23:31:40) 	The current index is =  0
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(107) 	(2022-05-26 23:31:50) 	qrc:/qmls/Page/ShowSentence.qml:107: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(114) 	(2022-05-26 23:31:50) 	qrc:/qmls/Page/ShowSentence.qml:114: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(121) 	(2022-05-26 23:31:50) 	qrc:/qmls/Page/ShowSentence.qml:121: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(128) 	(2022-05-26 23:31:50) 	qrc:/qmls/Page/ShowSentence.qml:128: TypeError: Cannot read property '0' of undefined
Debug:  F:() L:(0) 	(2022-05-26 23:31:50) 	The table name is =  "sentence"
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(62) 	(2022-05-26 23:31:57) 	aaaa: 1
Debug:  F:() L:(0) 	(2022-05-26 23:31:57) 	The word is =  "have a good relationship with"
Debug:  F:() L:(0) 	(2022-05-26 23:31:57) 	word context : =  "1154032"
