Debug:  F:() L:(0) 	(2022-05-27 20:47:19) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 20:47:20) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 20:47:20) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 20:47:20) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-27 20:47:21) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-27 20:47:21) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-27 20:47:21) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 20:47:21) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-27 20:47:21) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-27 20:47:21) 	read from db is =  2  and  1
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	The result of it is =  39  and  25
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 20:47:21) 	The result of it is =  39  and  25
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-27 20:47:21) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 20:47:21) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-27 20:47:21) 	config sno =  1  and  1
Debug:  F:() L:(0) 	(2022-05-27 20:47:23) 	collect table is =  "allWords1"
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(116) 	(2022-05-27 20:47:23) 	show sentence is =  veracity&n. 诚实，精确性，老实，说真实话
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 20:47:23) 	show sentence is =  veracity&n. 诚实，精确性，老实，说真实话
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 20:47:23) 	show sentence is =  headachy&adj. 头痛的；令人头痛的
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 20:47:23) 	show sentence is =  nailhead&n. 钉头；钉头装饰
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(118) 	(2022-05-27 20:47:23) 	show sentence is =  finagle&v. 欺骗；哄骗；欺瞒
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(22) 	(2022-05-27 20:47:23) 	load
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-27 20:47:26) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-27 20:47:26) 	The current index is =  3
Debug:  F:(qrc:/main.qml) L:(134) 	(2022-05-27 20:47:27) 	start to here!!!
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 20:47:27) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 20:47:27) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 20:47:27) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-27 20:47:28) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 20:47:28) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-27 20:47:28) 	The page is load!!!
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-27 20:47:28) 	read from db is =  20  and  1
Debug:  F:() L:(0) 	(2022-05-27 20:47:28) 	the time is =  "2022-05-27"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:28) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:28) 	the time is =  "2022-05-27"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:28) 	The result of it is =  0  and  0
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-27 20:47:28) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 20:47:28) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(107) 	(2022-05-27 20:47:29) 	qrc:/qmls/Page/ShowSentence.qml:107: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(114) 	(2022-05-27 20:47:29) 	qrc:/qmls/Page/ShowSentence.qml:114: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(121) 	(2022-05-27 20:47:29) 	qrc:/qmls/Page/ShowSentence.qml:121: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowSentence.qml) L:(128) 	(2022-05-27 20:47:29) 	qrc:/qmls/Page/ShowSentence.qml:128: TypeError: Cannot read property '0' of undefined
Debug:  F:() L:(0) 	(2022-05-27 20:47:29) 	The table name is =  "sentence"
Debug:  F:(qrc:/qmls/Page/WordBooks.qml) L:(24) 	(2022-05-27 20:47:39) 	load
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(63) 	(2022-05-27 20:47:40) 	qrc:/qmls/Page/ShowDetailWord.qml:63:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(74) 	(2022-05-27 20:47:40) 	qrc:/qmls/Page/ShowDetailWord.qml:74:17: Unable to assign int to QQuickAnchorLine
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(65) 	(2022-05-27 20:47:40) 	qrc:/qmls/Page/ShowDetailWord.qml:65: TypeError: Cannot read property '0' of undefined
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(76) 	(2022-05-27 20:47:40) 	qrc:/qmls/Page/ShowDetailWord.qml:76: TypeError: Cannot read property '0' of undefined
Debug:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(13) 	(2022-05-27 20:47:40) 	The title is =  错题本
Debug:  F:() L:(0) 	(2022-05-27 20:47:40) 	The table name is =  "allWords"
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(156) 	(2022-05-27 20:47:40) 	qrc:/qmls/Page/ShowDetailWord.qml:156: TypeError: Cannot call method 'split' of undefined
Warning:  F:(qrc:/qmls/Page/ShowDetailWord.qml) L:(156) 	(2022-05-27 20:47:40) 	qrc:/qmls/Page/ShowDetailWord.qml:156: TypeError: Cannot call method 'split' of undefined
Debug:  F:(qrc:/qmls/Page/WordBooks.qml) L:(78) 	(2022-05-27 20:47:40) 	The book name is =  错题本
Debug:  F:() L:(0) 	(2022-05-27 20:47:45) 	collect table is =  "allWords-1"
Debug:  F:() L:(0) 	(2022-05-27 20:47:45) 	insert error : QSqlError("1", "Unable to execute statement", "near \"-\": syntax error")
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(116) 	(2022-05-27 20:47:45) 	show sentence is =  undefined
Debug:  F:(qrc:/qmls/Page/ShowCollectWord.qml) L:(22) 	(2022-05-27 20:47:45) 	load
Warning:  F:(qrc:/qmls/Page/ImportWordPage.qml) L:(86) 	(2022-05-27 20:47:48) 	qrc:/qmls/Page/ImportWordPage.qml:86:9: QML Rectangle: Cannot anchor to an item that isn't a parent or sibling.
Warning:  F:(qrc:/main.qml) L:(109) 	(2022-05-27 20:47:48) 	qrc:/main.qml:109:35: QML ImportWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Warning:  F:(qrc:/main.qml) L:(109) 	(2022-05-27 20:47:50) 	qrc:/main.qml:109:35: QML ImportWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-27 20:47:55) 	The current status is =  [object Object]
Debug:  F:() L:(0) 	(2022-05-27 20:47:55) 	the time is =  "2022-05-21"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-22"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-23"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-24"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-25"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-26"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-27"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:(qrc:/qmls/Page/ChartView.qml) L:(213) 	(2022-05-27 20:47:56) 	The max top value is =  20
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-21"  and  -1
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 20:47:56) 	the time is =  "2022-05-22"  and  -1
