Debug:  F:() L:(0) 	(2022-05-28 08:00:38) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-28 08:00:39) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-28 08:00:39) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-28 08:00:39) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-28 08:00:41) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-28 08:00:41) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-28 08:00:41) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-28 08:00:41) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-28 08:00:41) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-28 08:00:41) 	read from db is =  5  and  1
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	the time is =  "2022-05-28"  and  1
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	the time is =  "2022-05-28"  and  1
Debug:  F:() L:(0) 	(2022-05-28 08:00:41) 	The result of it is =  0  and  0
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-28 08:00:41) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-28 08:00:41) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-28 08:00:41) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-28 08:00:45) 	The current status is =  [object Object]
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(107) 	(2022-05-28 08:00:45) 	The current index is =  2
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(362) 	(2022-05-28 08:00:47) 	The mdifficult is =  1
Debug:  F:() L:(0) 	(2022-05-28 08:00:49) 	The upgrade information is =  1   and  2   1
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-28 08:00:50) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-28 08:00:50) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-28 08:00:50) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-28 08:00:50) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(362) 	(2022-05-28 08:00:52) 	The mdifficult is =  1
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	the num =  2    and name is =  "allWords1"  -1:  0.3  -2:  0.3  -3:  0.2  -4:  0.2
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	the result of n4 =  0
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	the result of n3 =  0
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	the result of n2 =  0
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	the result of n1 =  2
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	The number of word is =  2
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(887) 	(2022-05-28 08:00:55) 	The test number is =  2
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	write the appear is =  0
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	write the appear is =  3
Debug:  F:() L:(0) 	(2022-05-28 08:00:55) 	Last error num is =  2
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(853) 	(2022-05-28 08:01:00) 	The current index is =  0   and   tell
Debug:  F:() L:(0) 	(2022-05-28 08:01:00) 	The accuracy is =  0
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(853) 	(2022-05-28 08:01:05) 	The current index is =  1   and   half
Debug:  F:() L:(0) 	(2022-05-28 08:01:05) 	The accuracy is =  0
