Debug:  F:() L:(0) 	(2022-05-26 19:43:31) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 19:43:31) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-26 19:43:31) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 19:43:31) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	The id is =  "14242354234"
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-26 19:43:32) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-26 19:43:32) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-26 19:43:32) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-26 19:43:32) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-26 19:43:32) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-26 19:43:32) 	read from db is =  20  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	The result of it is =  20  and  8
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	the time is =  "2022-05-26"  and  1
Debug:  F:() L:(0) 	(2022-05-26 19:43:32) 	The result of it is =  20  and  8
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-26 19:43:32) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-26 19:43:32) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-26 19:43:32) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(62) 	(2022-05-26 19:43:36) 	aaaa: 1
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	The word is =  "good"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "19149"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "good"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "/ɡ?d/"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "adj. 令人满意的；有利的；熟练的；好的；  adv. 好地；  n. 善行；好处；美德"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "1"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "4"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "139"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "{\"word_third\": \"\", \"word_done\": \"\", \"word_pl\": [\"goods\"], \"word_est\": [\"best\"], \"word_ing\": \"\", \"word_er\": [\"better\"], \"word_past\": \"\"}"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  "0"
Warning:  F:() L:(0) 	(2022-05-26 19:43:36) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(65) 	(2022-05-26 19:43:36) 	really??? =  good
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	STAT TO VOICE
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	The string is =  "good"
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(330) 	(2022-05-26 19:43:36) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(330) 	(2022-05-26 19:43:36) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(313) 	(2022-05-26 19:43:36) 	The target word  is =  good
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	The word is =  "good"
Warning:  F:() L:(0) 	(2022-05-26 19:43:36) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:36) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(313) 	(2022-05-26 19:43:36) 	The target word  is =  good
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	The word is =  "good"
Warning:  F:() L:(0) 	(2022-05-26 19:43:36) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-26 19:43:36) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-26 19:43:36) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-26 19:43:36) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
